书名,评论,作者,推荐,出版社,日期,链接
生死疲劳（不看不知道，莫言真幽默！全新版本！）,569675条评论,莫言；读客文化 出品,100%推荐,浙江文艺出版社,2022-01-01,http://product.dangdang.com/29343835.html
蛤蟆先生去看心理医生（热销300万册！英国经典心理咨询入门书，知名心理学家李松蔚强烈推荐）,1596885条评论,罗伯特・戴博德，果麦文化 出品,100%推荐,天津人民出版社,2020-07-01,http://product.dangdang.com/28992419.html
被讨厌的勇气：“自我启发之父”阿德勒的哲学课 岸见一郎,1149562条评论,"岸��一郎, 古�R史健",100%推荐,机械工业出版社,2020-03-05,http://product.dangdang.com/28518072.html
活着（余华代表作，精装，易烊千玺推荐阅读）,1164848条评论,余华  著 ，新经典  出品,100%推荐,北京十月文艺出版社,2021-10-01,http://product.dangdang.com/29311943.html
少年读史记（套装全5册）,1325022条评论,张嘉骅,99.9%推荐,青岛出版社,2015-09-01,http://product.dangdang.com/23778791.html
三体：全三册 刘慈欣代表作，亚洲“雨果奖”获奖作品！,2209043条评论,刘慈欣,99.9%推荐,重庆出版社,2010-11-01,http://product.dangdang.com/23579654.html
保重（大冰小蓝书系列收官之作！就此别过，诸君保重。当当专享语音明信片。）,344337条评论,大冰  著，磨铁文化 出品,100%推荐,北京联合出版有限公司,2022-08-01,http://product.dangdang.com/29453479.html
人生海海（麦家重磅力作，莫言、董卿盛赞，连续两年高居畅销榜，发行量超300万册）,1228058条评论,麦家  著 ，新经典  出品,100%推荐,北京十月文艺出版社,2019-04-16,http://product.dangdang.com/26921715.html
次第花开 修订版,810879条评论,希阿荣博堪布,100%推荐,海南出版社,2017-02-01,http://product.dangdang.com/24184084.html
杀死一只知更鸟（豆瓣9.2，关于勇气与正义的成长教科书，影响全球5000万家庭的“教养宝典”，奥巴马、贝克汉姆、奥普拉鼎力推荐）,787632条评论,哈珀・李　著  李育超 译,100%推荐,译林出版社,2017-02-01,http://product.dangdang.com/24185602.html
苏东坡传（林语堂纪念典藏精装版）,981092条评论,"林语堂 著,博集天卷 出品",100%推荐,湖南文艺出版社,2018-01-01,http://product.dangdang.com/25211578.html
遥远的救世主（天道原著王志文主演电视剧畅销遥远的救世主作者豆豆三部曲之一）,553201条评论,豆豆,99.9%推荐,作家出版社,2018-10-09,http://product.dangdang.com/25353527.html
法治的细节（罗翔新作，法律随笔，评热点、论法理、聊读书、谈爱情，人间清醒与你坦诚相见）,419254条评论,罗翔，果麦文化 出品,100%推荐,云南人民出版社,2021-11-01,http://product.dangdang.com/29323524.html
保重（限量签名版，大冰小蓝书系列收官之作！就此别过，诸君保重。）,287851条评论,大冰  著，磨铁文化 出品,100%推荐,北京联合出版有限公司,2022-09-01,http://product.dangdang.com/29453299.html
大话中国艺术史（句句有梗，一口气读完10000年中国艺术史。艺术头部自媒体意外艺术新作，句句有梗的极简艺术史又来了）,149312条评论,意公子；读客文化 出品,100%推荐,海南出版社,2022-03-01,http://product.dangdang.com/29374495.html
钝感力（渡边淳一经典励志大作！央视新闻、《奇葩说》鼎力推荐，马东、蔡康永、杨天真、王俊凯推荐书目。写给易因小事敏感，什么都往心里去的人。),788155条评论,渡边淳一著；李迎跃 译;,99.9%推荐,青岛出版社,2018-01-01,http://product.dangdang.com/25201859.html
神奇校车・桥梁书版（全20册）,1496462条评论,乔安娜柯尔　著 布鲁斯迪根 图　施芳　译,99.9%推荐,贵州人民出版社,2014-04-01,http://product.dangdang.com/23444350.html
你当像鸟飞往你的山（中文版销量超200万册，比尔・盖茨年度特别推荐！登顶《纽约时报》畅销榜80+周，这本书比你听说的还要好！）,1562013条评论,塔拉 ・ 韦斯特弗  著 ， 新经典  出品,100%推荐,南海出版公司,2019-11-01,http://product.dangdang.com/28473192.html
马尔克斯：百年孤独（50周年纪念版）,2285715条评论,加西亚・马尔克斯 著，新经典 出品,99.8%推荐,南海出版公司,2017-08-01,http://product.dangdang.com/25138856.html
面纱（毛姆于女性觉醒的经典作品，三次改编成电影。在欲望中流离失所，在自我觉醒中掌控命运。无删减全译本，获19万+好评）,214674条评论,〔英〕毛姆 著，王晋华 译,100%推荐,时代文艺出版社,2019-01-01,http://product.dangdang.com/26445650.html
消失的13级台阶（罗翔推荐！荣获日本推理小说至高荣誉江户川乱步奖！是否值得为一场痛快的复仇，陪葬掉自己的人生？）,357965条评论,(日)高野和明 著；读客文化 出品,100%推荐,上海文艺出版社,2020-04-29,http://product.dangdang.com/28542693.html
小王子（畅销500万册，罗翔老师推荐，李继宏口碑译作，作者基金会官方认证）【果麦经典】,1709491条评论,（法）安托万・德・圣埃克苏佩里，译者 李继宏，果麦文化 出品,99.9%推荐,天津人民出版社,2018-06-03,http://product.dangdang.com/25298376.html
置身事内：中国政府与经济发展（罗永浩、罗振宇、何帆、刘格菘、张军、周黎安、王烁联袂推荐，复旦经院毕业课）,242657条评论,兰小欢 著,100%推荐,上海人民出版社,2021-08-01,http://product.dangdang.com/29281158.html
云边有个小卖部（俞敏洪《在岁月中远行》单独撰文推荐，随书附赠云边镇四季明信片和张嘉佳作词单曲彩蛋）,1548737条评论,"张嘉佳 著,博集天卷 出品",100%推荐,湖南文艺出版社,2018-07-01,http://product.dangdang.com/25295369.html
心安即是归处：季羡林百年生命智慧。央视《朗读者》多次动情朗读本书名篇。,498713条评论,季羡林 著，文通天下 出品,100%推荐,古吴轩出版社,2020-08-01,http://product.dangdang.com/28976722.html
作家榜名著：月亮与六便士（全新未删节插图珍藏版！毛姆写给年轻人的梦想之书！满地都是六便士，他却抬头看见了月亮！）,1515637条评论,[英] 毛姆 著，作家榜经典名著 出品，徐淳刚（诗人） 译，大星文化，高更 绘,100%推荐,浙江文艺出版社,2017-01-10,http://product.dangdang.com/24175371.html
