ID,名称,地区,类别,上映日期
1,2022年美国8.2分动画片《穿靴子的猫2》蓝光国英双语中英双字,美国,动画/喜剧/爱情/悬疑/歌舞/奇幻/冒险,2022-12-23(
2,2022年美国喜剧动画片《刺猬索尼克2》蓝光国英双语中英双字,美国/日本,喜剧/动作/科幻/冒险/动画,2022(中国大陆)/2022-04-08(美国)
3,2022年美国6.3分动作科幻片《黑豹2》BD国英双语中英双字,美国,动作/科幻/冒险/剧情,2023-02-07(中国大陆)/2022-11-09(中国台湾)/2022-11-11(美国)
4,2022年印度7.4分剧情犯罪片《误杀瞒天记2》BD中英双字,印度,剧情/犯罪,2022-11-18(印度)
5,2020年国产7.8分剧情片《一秒钟》蓝光国语中字,中国大陆,剧情,2020-11-27(中国大陆)
6,2022年韩国7.6分动作片《共助2：国际》BD韩语中字,韩国,动作,2022-09-07(韩国)
7,2021年美国7.5分奇幻动画片《寻龙传说》蓝光国英双语双字,美国,动画/奇幻/冒险,2021-03-05(中国大陆/美国)
8,2022年国产动作犯罪片《扫黑行动》HD国语中字,中国大陆,动作/犯罪,2022-11-11(中国大陆)
9,2022年美国7.7分喜剧悬疑片《利刃出鞘2》BD中英双字,美国,喜剧/悬疑/惊悚/犯罪/剧情,2022-09-10(多伦多电影节)/2022-
10,2022年国产7.4分剧情战争片《万里归途》HD国语中字,中国大陆,剧情/战争,2022-09-30(中国大陆)
11,2022年国产6.6分动画片《熊出没・重返地球》BD国语中字,中国大陆,动画/喜剧/儿童,2022-02-01(中国大陆)
12,2022年中国香港6.4分动作科幻片《明日战记》HD国粤双语中字,中国香港/中国大陆,动作/科幻,2022-08-05(中国大陆)/2022-08-25(中国香港)
13,2022年国产喜剧奇幻片《哥，你好》HD国语中字,中国大陆,喜剧/奇幻/剧情,2022-09-09(中国大陆)
14,2022年美国6.1分动作科幻片《黑亚当》BD中英双字,美国/加拿大/新西兰/匈牙利,动作/科幻/奇幻/冒险,2022-10-19(法国)/2022-10-21(美国)
15,2022年国产6.2分剧情片《平凡英雄》HD国语中字,中国大陆,剧情,2022-09-30(中国大陆)
16,2022年美国喜剧奇幻片《魔法奇缘2：解除魔法》HD中英双字,美国,喜剧/奇幻/爱情/动画/歌舞/冒险,2022-11-18(美国网络)
17,2022年中国香港7.0分动作悬疑片《神探大战》4K国语中字,中国香港/中国大陆,动作/悬疑/犯罪,2022-07-08(中国大陆)/2022-07-21(中国香港)
18,2022年国产冒险灾难片《搜救》HD国语中字,中国大陆,冒险/灾难/剧情,2022-10-03(中国大陆)
19,2022年美国动作犯罪片《亡命救护车》蓝光中英双字,美国,动作/犯罪,2022-04-22(中国大陆)/2022-04-08(美国)
20,2022年国产7.1分动画片《新神榜：杨戬》HD国语中字,中国大陆,动画/奇幻/冒险/动作,2022-08-19(中国大陆)
21,2022年美国8.4分动作片《壮志凌云2：独行侠》蓝光中英双字,美国/中国大陆,动作,2022-05-18(戛纳电影节)/2022-05-27(美国)
22,2021年国产8.3分动画片《雄狮少年》蓝光国粤双语中字,中国大陆,动画/剧情/喜剧,2021-12-17(中国大陆)/2021-12-11(大规模点映)
23,2022年美国7.1分动画片《光年正传》蓝光国粤英3语双字,美国,动画/冒险/科幻,2022-06-15(意大利)/2022-06-17(美国)
24,2022年国产喜剧科幻片《外太空的莫扎特》HD国语中字,中国大陆,喜剧/科幻/家庭,2022-07-15(中国大陆)
25,2022年美国动作科幻片《铁血战士：猎物》BD中英双字,美国,动作/科幻/恐怖,2022-08-05(美国网络)
26,2021年欧美6.7分动作科幻片《哥斯拉大战金刚》蓝光国英双语双字,美国/澳大利亚,动作/科幻/冒险,2021-03-26(中国大陆)/2021-03-24(中国台湾)/2021-03-31(美国)
27,2021年欧美7.2分动画片《比得兔2：逃跑计划》蓝光国粤英3语双字,澳大利亚/印度/美国/英国/加拿大,喜剧/动画/冒险,2021-06-11(中国大陆/美国)/2021-03-25(澳大利
28,2021年欧美科幻动画片《天赐灵机》蓝光国英双语中字,美国/英国/加拿大,科幻/动画/冒险/喜剧,2021-10-22(美国)
29,2022年美国动画片《小黄人大眼萌：神偷奶爸前传》BD中英双字,美国,动画/喜剧/科幻/犯罪/冒险,2022-06-13(安锡国际动画
30,2022年国产剧情片《你是我的春天》HD国语中字,中国大陆,剧情,2022-07-01(中国大陆)
31,2022年韩国7.7分动作犯罪片《犯罪都市2》BD韩语中字,韩国,动作/犯罪,2022-05-18(韩国)
32,2021年美国动作科幻片《末日激战》蓝光中英双字,美国,动作/科幻,2021-01-15(美国)
33,2022年韩国动作悬疑片《魔女2》BD韩语中字,韩国,动作/悬疑,2022-06-15(韩国)
34,2022年美国6.3分动作科幻片《侏罗纪世界3》蓝光中英双字,美国/马耳他,动作/科幻/冒险,2022-06-10(美国/中国大陆)/2022-06-01(韩国)
35,2022年国产动作犯罪片《烈探》HD国粤双语中字,中国大陆,动作/犯罪/剧情,2022-07-08(中国大陆网络)
36,2022年美国8.3分动画片《青春变形记》蓝光国粤英3语中字,美国,动画/喜剧/奇幻/冒险,2022-03-11(美国网络)
37,2022年美国动作奇幻片《奇异博士2：疯狂多元宇宙》蓝光中英双字,美国,动作/奇幻/恐怖/冒险,2022-05-04
38,2021年中国香港动作犯罪片《反贪风暴5：最终章》蓝光双语中字,中国香港/中国大陆,动作/犯罪,2021-12-31(中国大陆)
39,2022年美国8.3分喜剧奇幻片《瞬息全宇宙》蓝光中英双字,美国,喜剧/奇幻/冒险,2022-03-11(西南偏南电影节)/2022-03-25(美国)
40,2022年英国8.3分爱情片《唐顿庄园2》BD中英双字,英国/美国,爱情/剧情,2022-05-20(美国/中国大陆)/2022-04-27(法国)/2022-04-29(英国)
41,2022年美国科幻灾难片《月球陨落》蓝光中英双字,美国/中国大陆/英国,科幻/灾难,2022-03-25(中国大陆)/2022-02-04(美国)
42,2022年英国奇幻片《神奇动物：邓布利多之谜》BD中英双字,英国/美国,奇幻/冒险,2022-04-08(英国/中国大陆)/2022-04-15(美国)
43,2021年国产6.3分动作灾难片《峰爆》蓝光国语中字,中国大陆,动作/灾难/剧情,2021-09-17(中国大陆)
44,2021年韩国6.9分恐怖古装片《王国：北方的阿信》蓝光韩语中字,韩国,恐怖/古装/剧情,空
45,2022年美国7.6分动作犯罪片《新蝙蝠侠》蓝光国英双语中字,美国,动作/犯罪/悬疑/剧情,2022-03-18(中国大陆)/2022-03-01(韩国)/2022-03-04(美国)/2022-04-19(美国网络)
46,2022年美国动作科幻片《暗夜博士：莫比亚斯》BD中英双字,美国,动作/科幻/惊悚/恐怖/冒险,2022-04-01(美国)
47,2022年国产喜剧爱情片《四海》HD国语中字,中国大陆,喜剧/爱情/动作,2022-02-01(中国大陆)
48,2022年美国6.3分动作冒险片《神秘海域》BD英语中字,美国,动作/冒险,2022-03-14(中国大陆)/2022-02-18(美国)
49,2022年国产7.7分战争历史片《狙击手》HD国语中字,中国大陆,战争/历史/剧情,2022-02-01(中国大陆)
50,2020年美国8.2分动作犯罪片《绅士们》蓝光中英双字,美国,动作/犯罪,2020-01-24(美国)
51,2021年美国动作科幻片《黑客帝国：矩阵重启》蓝光国英双语中英双字,美国,动作/科幻,2022-01-14(中国大陆)/2021-12-22(美国)
52,2022年国产动画片《小虎墩大英雄》HD国语中字,中国大陆,动画/冒险,2022-02-01(中国大陆)
53,2021年美国7.5分动作科幻片《蜘蛛侠：英雄无归》蓝光中英双字,美国/冰岛,动作/科幻/冒险,空
54,2021年美国喜剧动作片《王牌特工：源起》蓝光特效中英双字,美国/英国,喜剧/动作/冒险,2021-12-22(美国)/2022-02-1
55,2021年国产6.0分剧情片《穿过寒冬拥抱你》HD国语中字,中国大陆,剧情/爱情,2021-12-31(中国大陆)
56,2021年国产剧情犯罪片《误杀2》4K国语中字,中国大陆,剧情/犯罪,2021-12-17(中国大陆)
57,2022年国产喜剧古装片《李茂扮太子》HD国语中字,中国大陆,喜剧/古装,2022-01-01(中国大陆)
58,2021年国产7.4分战争历史片《长津湖》蓝光国语中字,中国大陆/中国香港,战争/历史/剧情,2021-09-30(中国大陆)
59,2021年国产7.5分喜剧悬疑片《扬名立万》HD国语中字,中国大陆,喜剧/悬疑/剧情,2021-11-11(中国大陆)
60,2021年美国6.7分动作科幻片《永恒族》蓝光中英双字,美国/英国,动作/科幻/冒险,2021(中国大陆)/2021-11-05(美国)
61,2020年美国5.5分动作科幻片《喋血战士》蓝光中英双字,美国/中国大陆,动作/科幻,2020(中国大陆)/2020-03-13(美国)
62,2021年美国动作犯罪片《速度与激情9》蓝光国英双语中英双字,美国,动作/犯罪,2021-05-21(中国大陆)/2021-05-19(韩国)/2021-06-25(美国)
63,2021年国产8.3分喜剧爱情片《爱情神话》HD国语中字,中国大陆,喜剧/爱情/剧情,2021-12-24(中国大陆)
64,2021年国产6.7分剧情片《我和我的父辈》HD国语中字,中国大陆,剧情,2021-09-30(中国大陆)
65,2020年欧美7.8分动作科幻片《信条》蓝光国英双语中英双字,美国/英国,剧情/动作/科幻,2020-09-04(中国大陆)/2020-08-26(英国)/2020-09-03(美国)
66,2021年欧美6.9分动作惊悚片《007：无暇赴死》蓝光国英双语双字,英国/美国,动作/惊悚/冒险,2021-10-29(中国大陆)/2021-09-30(英国)/2021-10-08(美国)
67,2021年国产6.3分悬疑冒险片《古董局中局》HD国语中字,中国大陆,悬疑/冒险/剧情,2021-12-03(中国大陆)
68,2020年国产6.3分动作灾难片《紧急救援》BD国语中字,中国大陆/中国香港,动作/灾难,2020-12-18(中国大陆)
69,2021年国产6.2分战争历史片《铁道英雄》HD国语中字,中国大陆,战争/历史/剧情/动作,2021-11-19(中国大陆)
70,2020年国产6.5分剧情片《除暴》BD国粤双语中字,中国香港/中国大陆,剧情/动作/犯罪,2020-11-20(中国大陆)
71,2021年国产惊悚犯罪片《门锁》HD国语中字,中国大陆,惊悚/犯罪/剧情,2021-11-19(中国大陆)
72,2021年国产6.9分剧情灾难片《中国医生》BD国语中字,中国大陆,剧情/灾难,2021-07-09(中国大陆)
73, 2020年国产6.5分战争片《金刚川》蓝光国语中字,中国大陆,剧情/战争,2020-10-23(中国大陆)
74,2021年美国动作科幻片《毒液2》蓝光中英双字,美国,动作/科幻/惊悚,2021(中国大陆)/2021-10-01(美国)/2021-10(英国)
75,2021年欧美8.0分科幻冒险片《沙丘》蓝光中英双字,加拿大/匈牙利/美国,科幻/冒险/剧情,2021-10-22(美国/中国大陆)/2021-09-03(威尼斯电影节)/2021-09-11(多伦多电影节)
76,2021年欧美动作科幻片《尚气与十环传奇》蓝光特效中英双字,美国/澳大利亚,动作/科幻/冒险,2021-09-03(美国)/2021-11-12(美
77,2019年俄罗斯7.5分历史战争片《猎杀T34》BD俄语中字,俄罗斯,历史/战争/动作,2020-12-11(中国大陆)/2019-01-01(俄罗斯)
78,2021年国产6.8分喜剧悬疑片《不速来客》HD国语中字,中国大陆,喜剧/悬疑,2021-10-22(中国大陆)/2021-09-26(北京国际电影节)
79,2021年中国香港7.5分动作犯罪片《怒火・重案》BD国粤双语中字,中国香港/中国大陆,动作/犯罪,2021-07-30(中国大陆)/2021-08-19(中国香港)
80,2021年美国6.6分喜剧犯罪片《红色通缉令》BD中英双字,美国,喜剧/动作/惊悚/犯罪,2021-11-12(美国)
81,2021年韩国8.2分惊悚历史片《摩加迪沙》BD韩语中字,韩国,惊悚/历史/剧情,2021-07-28(韩国)
82,2021年欧美8.3分科幻片《芬奇》BD英语中字,英国/美国,科幻/剧情,2021-11-05(美国)
83,2019年日本7.4分科幻动画片《你好世界》BD国日语双语中字,日本,剧情/爱情/科幻/动画,2020(中国大陆)/2019-09-20(日本)
84,2021年欧美6.9分动作犯罪片《神偷军团》BD中字,德国/美国,动作/犯罪,2021-10-29(美国网络)
85,2021年国产7.5分喜剧运动片《五个扑水的少年》HD国语中字,中国大陆,喜剧/运动,2021-10-01(中国大陆)
86,2021年国产7.3分剧情片《盛夏未来》HD国语中字,中国大陆,剧情,2021-07-30(中国大陆)
87,2021年国产6.7分剧情历史片《1921》BD国语中字,中国大陆,剧情/历史,2021-07-01(中国大陆)/2021-06-11(上海国际电影节)
88,2021年美国6.6分奇幻冒险片《丛林奇航》BD英语中字,美国,喜剧/动作/奇幻/冒险,2021-07-30(美国)
89,2021年欧美7.7分喜剧科幻片《失控玩家》BD中英双字精译版,美国/加拿大,喜剧/动作/科幻,2021-08-27(中国大陆)/2021-08-10(洛迦诺电影节)/2021-08-13(美国)
90,2021年国产7.2分动画片《白蛇2：青蛇劫起》HD国语中字,中国大陆,动画/奇幻/冒险,2021-07-23(中国大陆)
91,2021年国产7.0分动作奇幻片《刺杀小说家》BD国粤双语中字,中国大陆,动作/奇幻/冒险,2021-02-12(中国大陆)
92,2021年欧美7.0分动作犯罪片《人之怒》BD国英双语特效中英双字,美国/英国,动作/犯罪,2021-05-10(中国大陆)/2021-04-22(俄罗斯)/2021-05-07(美国)
93,2021年美国8.3分喜剧动作片《X特遣队：全员集结》BD中英双字,美国,喜剧/动作/科幻/冒险,2021-07-28(法国)/2021-08-06(美国)
94,2021年国产7.1分喜剧犯罪片《人潮汹涌》BD国粤双语中字,中国大陆,喜剧/犯罪,2021-02-12(中国大陆)
95,2021年日本9.3分动画片《新・福音战士剧场版：终》BD国语中字,日本,动画/科幻/剧情,2021-03-08(日本)/
96,2021年欧美动作科幻片《特种部队：蛇眼起源》BD中英双字,加拿大/美国,动作/科幻/冒险,2021-07-23(美国)
97,2020年日本7.3分动画《哆啦A梦：伴我同行2》BD国粤日三语中字,日本,剧情/动画,2020-11-20(日本)
98,2021年美国6.6分科幻惊悚片《寂静之地2》BD中英双字,美国,科幻/惊悚/恐怖,2021-05-28(中国大陆/美国)
99,2020年日本动画片《鬼灭之刃 剧场版 无限列车篇》BD国粤日中字,空,空,空
100,2021年中国香港动作犯罪片《追虎擒龙》HD国语中字,中国香港/中国大陆,动作/犯罪/剧情,2021-05-01(中国大陆)
101,2021年美国9.4分喜剧爱情片《老友记重聚特辑》BD中英双字,美国,喜剧/爱情,2021-05-27(美国网络)
102,2020年国产刘德华刘青云动作犯罪片《拆弹专家2》BD国粤双语中字,中国大陆/中国香港,动作/犯罪,2020-12-24(中国大陆)
103,2021年欧美悬疑惊悚片《电锯惊魂9：漩涡》BD中英双字,美国/加拿大,悬疑/惊悚/恐怖,2021-05-14(美国)
104,2021年国产6.4分动作犯罪片《扫黑・决战》HD国语中字,中国大陆,动作/犯罪/剧情,2021-05-01(中国大陆)
105,2021年国产喜剧悬疑片《唐人街探案3》BD国语中字,中国大陆,喜剧/悬疑,2021-02-12(中国大陆)
106,2021年美国动作恐怖片《活死人军团》BD中英双字,美国,动作/科幻/恐怖,2021-05-14(美国)/2021-05-21(美国网络)
107,2019年中国台湾8.5分家庭犯罪片《阳光普照》HD国语中字,中国台湾,剧情/家庭/犯罪,2019-11-01(中国台湾)/2019-09-06(多伦多电影节)
108,2021年中国香港动作奇幻片《真・三国无双》HD国粤双语中英双字,中国大陆/中国香港,动作/奇幻/古装,2021-05-01(中国大陆)/2021-04-29(中国香港)
109,2021年国产8.1分喜剧片《你好，李焕英》HD国语中英双字,中国大陆,喜剧/奇幻/剧情,2021-02-12(中国大陆)
