榜单,排名,姓名,分板助,数据
得分榜,1,恩比德,32.1分11.3板6.3助,32.1
得分榜,2,杜兰特,31.4分7.1板5.5助,31.4
得分榜,3,东契奇,30.5分7.9板7.8助,30.5
得分榜,4,亚历山大,30.4分6.1板6.2助,30.4
得分榜,5,阿德托昆博,29.9分10.6板4.6助,29.9
篮板榜,1,约基奇,28.2分13.5板8.9助,13.5
篮板榜,2,萨博尼斯,19.9分12.3板7.0助,12.3
篮板榜,3,戴维斯,22.1分12.1板3.4助,12.1
篮板榜,4,戈贝尔,12.1分11.7板1.3助,11.7
篮板榜,5,恩比德,32.1分11.3板6.3助,11.3
前场篮板榜,1,罗宾逊,6.5分11.3板0.5助,5.9
前场篮板榜,2,卡佩拉,10.8分9.9板0.9助,4.3
前场篮板榜,2,威廉姆斯,13.6分10.4板1.4助,4.3
前场篮板榜,4,戈贝尔,12.1分11.7板1.3助,3.8
前场篮板榜,5,萨博尼斯,19.9分12.3板7.0助,3.7
后场篮板榜,1,约基奇,28.2分13.5板8.9助,10.3
后场篮板榜,2,戴维斯,22.1分12.1板3.4助,8.9
后场篮板榜,3,萨博尼斯,19.9分12.3板7.0助,8.7
后场篮板榜,4,塔特姆,27.8分8.9板4.1助,8.2
后场篮板榜,5,唐斯,22.0分9.0板3.0助,8.1
助攻榜,1,哈利伯顿,25.4分3.9板12.1助,12.1
助攻榜,2,杨,26.0分2.9板10.6助,10.6
助攻榜,3,范弗利特,16.6分4.1板9.0助,9.0
助攻榜,4,约基奇,28.2分13.5板8.9助,8.9
助攻榜,5,鲍尔,25.9分5.8板8.6助,8.6
抢断榜,1,亚历山大,30.4分6.1板6.2助,2.3
抢断榜,2,斯马特,12.5分2.5板5.0助,2.0
抢断榜,3,萨格斯,12.5分3.9板2.8助,1.9
抢断榜,3,乔治,25.4分6.2板3.6助,1.9
抢断榜,3,琼斯,11.6分4.1板2.9助,1.9
盖帽榜,1,戴维斯,22.1分12.1板3.4助,2.9
盖帽榜,1,洛佩斯,13.3分5.2板1.1助,2.9
盖帽榜,3,文班亚马,19.0分9.4板2.6助,2.6
盖帽榜,4,霍姆格伦,18.1分8.0板2.5助,2.3
盖帽榜,5,戈贝尔,12.1分11.7板1.3助,2.2
投篮命中率榜,1,珀尔特尔,10.9分8.3板2.4助,71.4%
投篮命中率榜,2,威廉姆斯,13.6分10.4板1.4助,67.5%
投篮命中率榜,3,瓦格纳,12.6分4.2板1.2助,63.1%
投篮命中率榜,4,萨博尼斯,19.9分12.3板7.0助,62.0%
投篮命中率榜,5,祖巴茨,10.5分8.6板0.7助,61.3%
三分总命中数榜,1,库里,29.7分4.6板3.9助,80
三分总命中数榜,2,东契奇,30.5分7.9板7.8助,61
三分总命中数榜,3,哈达威,17.1分3.5板1.7助,55
三分总命中数榜,4,哈利伯顿,25.4分3.9板12.1助,54
