排名,标题,评分,评价人数,地区,简介
1,肖申克的救赎,9.7,2913427人,美国,希望让人自由。
2,霸王别姬,9.6,2150846人,中国大陆 中国香港,风华绝代。
3,阿甘正传,9.5,2171978人,美国,一部美国近现代史。
4,泰坦尼克号,9.5,2203561人,剧情 爱情 灾难,失去的才是永恒的。 
5,这个杀手不太冷,9.4,2305674人,法国 美国,怪蜀黍和小萝莉不得不说的故事。
6,千与千寻,9.4,2255882人,日本,最好的宫崎骏，最好的久石让。 
7,美丽人生,9.6,1332655人,剧情 喜剧 爱情 战争,最美的谎言。
8,辛德勒的名单,9.6,1111110人,剧情 历史 战争,拯救一个人，就是拯救整个世界。
9,星际穿越,9.4,1850279人,剧情 科幻 冒险,爱是一种力量，让我们超越时空感知它的存在。
10,盗梦空间,9.4,2072083人,剧情 科幻 悬疑 冒险,诺兰给了我们一场无法盗取的梦。
11,楚门的世界,9.4,1721315人,美国,如果再也不能见到你，祝你早安，午安，晚安。
12,忠犬八公的故事,9.4,1404963人,剧情,永远都不能忘记你所爱的人。
13,海上钢琴师,9.3,1685518人,意大利,每个人都要走一条自己坚定了的路，就算是粉身碎骨。 
14,三傻大闹宝莱坞,9.2,1867326人,印度,英俊版憨豆，高情商版谢耳朵。
15,放牛班的春天,9.3,1318032人,剧情 音乐,天籁一般的童声，是最接近上帝的存在。 
16,机器人总动员,9.3,1322394人,美国,小瓦力，大人生。
17,疯狂动物城,9.2,1949472人,美国,迪士尼给我们营造的乌托邦就是这样，永远善良勇敢，永远出乎意料。
18,无间道,9.3,1371305人,梁朝伟 Tony Leung Chiu W...2002,香港电影史上永不过时的杰作。
19,控方证人,9.6,565390人,美国,比利·怀德满分作品。
20,大话西游之大圣娶亲,9.2,1541039人,中国香港 中国大陆,一生所爱。
21,熔炉,9.4,935320人,...2011,我们一路奋战不是为了改变世界，而是为了不让世界改变我们。
22,教父,9.3,972893人,剧情 犯罪,千万不要记恨你的对手，这样会让你失去理智。
23,触不可及,9.3,1120076人,法国,满满温情的高雅喜剧。
24,当幸福来敲门,9.2,1527104人,剧情 传记 家庭,平民励志片。 
25,末代皇帝,9.3,890459人,英国 意大利 中国大陆 法国,“不要跟我比惨，我比你更惨”再适合这部电影不过了。
26,龙猫,9.2,1273103人,日本,人人心中都有个龙猫，童年就永远不会消失。
27,寻梦环游记,9.1,1692054人,美国,死亡不是真的逝去，遗忘才是永恒的消亡。
28,怦然心动,9.1,1841966人,美国,真正的幸福是来自内心深处。
29,活着,9.3,849206人,姜武 Wu Jiang1994,张艺谋最好的电影。
30,蝙蝠侠：黑暗骑士,9.2,1063256人,剧情 动作 科幻 犯罪 惊悚,无尽的黑暗。
31,哈利·波特与魔法石,9.2,1199323人,Rupert Grint2001,童话世界的开端。
32,指环王3：王者无敌,9.3,807298人,美国 新西兰,史诗的终章。
33,我不是药神,9.0,2116307人,周...2018,对我们国家而言，这样的电影多一部是一部。
34,乱世佳人,9.3,695023人,美国,Tomorrow is another day.
35,飞屋环游记,9.1,1332252人,美国,最后那些最无聊的事情，才是最值得怀念的。 
36,素媛,9.3,690099人,韩国,受过伤害的人总是笑得最开心，因为他们不愿意让身边的人承受一样的痛苦。
37,哈尔的移动城堡,9.1,1031622人,日本,带着心爱的人在天空飞翔。
38,十二怒汉,9.4,493443人,美国,1957年的理想主义。 
39,何以为家,9.1,1049568人,黎巴嫩 美国 法国 塞浦路斯 卡塔尔 英国,凝视卑弱生命，用电影改变命运。
40,摔跤吧！爸爸,9.0,1576917人,印度,你不是在为你一个人战斗，你要让千千万万的女性看到女生并不是只能相夫教子。
41,让子弹飞,9.0,1707439人,周润发 Yun-F...2010,你给我翻译翻译，神马叫做TMD的惊喜。
42,天空之城,9.2,878993人,日本,对天空的追逐，永不停止。 
43,鬼子来了,9.3,629717人,...2000,对敌人的仁慈，就是对自己残忍。
44,猫鼠游戏,9.1,1031213人,传记 犯罪 剧情,骗子大师和执著警探的你追我跑故事。 
45,少年派的奇幻漂流,9.1,1354234人,美国 中国台湾 英国 加拿大,瑰丽壮观、无人能及的冒险之旅。
46,海蒂和爷爷,9.3,618847人,德国 瑞士,如果生活中有什么使你感到快乐，那就去做吧！不要管别人说什么。
47,钢琴家,9.3,643638人,剧情 传记 战争 音乐,音乐能化解仇恨。
48,大话西游之月光宝盒,9.0,1226940人,中国香港 中国大陆,旷古烁今。
49,指环王2：双塔奇兵,9.2,757052人,美国 新西兰,承前启后的史诗篇章。
50,闻香识女人,9.1,889474人,美国,史上最美的探戈。
51,罗马假日,9.1,954433人,美国,爱情哪怕只有一天。
52,死亡诗社,9.2,730571人,美国,当一个死水般的体制内出现一个活跃的变数时，所有的腐臭都站在了光明的对面。
53,绿皮书,8.9,1657908人,美国 中国大陆,去除成见，需要勇气。
54,天堂电影院,9.2,681160人,剧情 爱情,那些吻戏，那些青春，都在影院的黑暗里被泪水冲刷得无比清晰。
55,大闹天宫,9.4,440636人,1964(中国大陆),经典之作，历久弥新。
56,指环王1：护戒使者,9.1,851257人,新西兰 美国,传说的开始。
57,黑客帝国,9.1,841464人,美国,视觉革命。
58,教父2,9.3,555723人,剧情 犯罪,优雅的孤独。
59,狮子王,9.1,846428人,美国,动物版《哈姆雷特》。
60,辩护人,9.2,590851人,韩国,电影的现实意义大过电影本身。
61,饮食男女,9.2,623771人,吴...1994,人生不能像做菜，把所有的料都准备好了才下锅。
62,搏击俱乐部,9.0,849627人,美国,邪恶与平庸蛰伏于同一个母体，在特定的时间互相对峙。
63,美丽心灵,9.1,771776人,美国,爱是一切逻辑和原由。
64,本杰明·巴顿奇事,9.0,986602人,美国,在时间之河里感受溺水之苦。
65,穿条纹睡衣的男孩,9.2,567852人,剧情 战争,尽管有些不切实际的幻想，这部电影依旧是一部感人肺腑的佳作。
66,窃听风暴,9.2,567060人,剧情 悬疑,别样人生。
67,情书,8.9,1119689人,日本,暗恋的极致。
68,两杆大烟枪,9.1,597338人,英国,4个臭皮匠顶个诸葛亮，盖·里奇果然不是盖的。
69,西西里的美丽传说,8.9,979682人,剧情 战争 情色,美丽无罪。
70,看不见的客人,8.8,1275207人,西班牙,你以为你以为的就是你以为的。
71,音乐之声,9.1,605555人,美国,用音乐化解仇恨，让歌声串起美好。
72,阿凡达,8.8,1427326人,动作 科幻 冒险,绝对意义上的美轮美奂。
73,拯救大兵瑞恩,9.1,649711人,剧情 战争,美利坚精神输出大片No1.
74,哈利·波特与死亡圣器(下),9.0,836383人,奇幻 冒险,10年的完美句点。
75,飞越疯人院,9.1,549259人,剧情,自由万岁。
76,小鞋子,9.2,412943人,剧情 儿童 家庭,奔跑的孩子是天使。
77,沉默的羔羊,8.9,893744人,美国,安东尼·霍普金斯的顶级表演。
78,布达佩斯大饭店,8.9,939391人,美国 德国 英国,小清新的故事里注入了大历史的情怀。
79,禁闭岛,8.9,981678人,美国,昔日翩翩少年，今日大腹便便。
80,功夫,8.8,1140082人,...2004,警恶惩奸，维护世界和平这个任务就交给你了，好吗？
81,蝴蝶效应,8.9,942149人,美国 加拿大,人的命运被自己瞬间的抉择改变。
82,致命魔术,8.9,861405人,剧情 悬疑 惊悚,孪生蝙蝠侠大战克隆金刚狼。
83,哈利·波特与阿兹卡班的囚徒,8.9,735325人,英国 美国,不一样的导演，不一样的哈利·波特。
84,心灵捕手,8.9,716493人,美国,人生中应该拥有这样的一段豁然开朗。
85,海豚湾,9.3,358193人,纪录片,海豚的微笑，是世界上最高明的伪装。
86,超脱,9.0,604293人,美国,穷尽一生，我们要学会的，不过是彼此拥抱。
87,低俗小说,8.9,837231人,剧情 喜剧 犯罪,故事的高级讲法。
88,春光乍泄,9.0,634984人,中国香港 日本 韩国,爱情纠缠，男女一致。
89,摩登时代,9.3,302805人,剧情 喜剧 爱情,大时代中的人生，小人物的悲喜。
90,美国往事,9.2,412582人,犯罪 剧情,往事如烟，无处祭奠。
91,喜剧之王,8.8,974829人,中国香港,我是一个演员。
92,致命ID,8.9,828785人,美国,最不可能的那个人永远是最可能的。
93,杀人回忆,8.9,718026人,韩国,关于连环杀人悬案的集体回忆。
94,七宗罪,8.8,946023人,美国,警察抓小偷，老鼠玩死猫。
95,红辣椒,9.1,466962人,日本,梦的勾结。
96,加勒比海盗,8.8,862761人,美国,约翰尼·德普的独角戏。
97,哈利·波特与密室,8.9,762552人,英国 美国,魔法的密室之门已打开...
98,一一,9.1,396407人,金燕玲 Elai...2000,我们都曾经是一一。
99,狩猎,9.1,393924人,剧情,人言可畏。
100,唐伯虎点秋香,8.7,1085216人,陈...1993,华太师是黄霑，吴镇宇四大才子之一。
101,7号房的礼物,8.9,559702人,韩国,《我是山姆》的《美丽人生》。
102,被嫌弃的松子的一生,8.9,706128人,日本,以戏谑来戏谑戏谑。
103,请以你的名字呼唤我,8.9,725951人,意大利 法国 巴西 美国,沉醉在电影的情感和视听氛围中无法自拔。
104,断背山,8.8,709288人,美国 加拿大,每个人心中都有一座断背山。
105,剪刀手爱德华,8.7,1037703人,美国,浪漫忧郁的成人童话。
106,爱在黎明破晓前,8.8,686845人,剧情 爱情,缘分是个连绵词，最美不过一瞬。
107,入殓师,8.9,669250人,日本,死可能是一道门，逝去并不是终结，而是超越，走向下一程。
108,蝙蝠侠：黑暗骑士崛起,8.8,723561人,剧情 动作 科幻 犯罪 惊悚,诺兰就是保证。
109,勇敢的心,8.9,560123人,美国,史诗大片的典范。
110,第六感,8.9,558224人,剧情 悬疑 惊悚,深入内心的恐怖，出人意料的结局。
111,重庆森林,8.8,814386人,中国香港,寂寞没有期限。
112,超能陆战队,8.7,1018290人,美国,Balalala~~~
113,幽灵公主,8.9,526437人,日本,人与自然的战争史诗。
